method,budget,fold,instance_id,metric,value,mean,std,min,max,n_folds
greedy_evi,1,1,fold1-budget1,rmse,0.5299571420950442,,,,,
greedy_evi,1,1,fold1-budget1,mae,0.41493287554011465,,,,,
greedy_evi,1,1,fold1-budget1,r2,0.8158412538549172,,,,,
greedy_evi,1,1,fold1-budget1,expected_loss_gbp,489.6881958128332,,,,,
greedy_evi,1,1,fold1-budget1,coverage_90,0.918918918918919,,,,,
greedy_evi,1,1,fold1-budget1,msse,0.7797534485922816,,,,,
greedy_evi,1,1,fold1-budget1,n_test,74.0,,,,,
greedy_evi,1,1,fold1-budget1,roi,-1.0045781514787995,,,,,
greedy_evi,1,1,fold1-budget1,cost_efficiency,-0.004578151478799555,,,,,
greedy_evi,1,1,fold1-budget1,prior_loss_gbp,2645.589775166269,,,,,
greedy_evi,1,1,fold1-budget1,posterior_loss_gbp,2646.963220609909,,,,,
greedy_evi,1,1,fold1-budget1,savings_gbp,-1.3734454436398664,,,,,
greedy_evi,1,1,fold1-budget1,total_cost,300.0,,,,,
greedy_evi,1,1,fold1-budget1,prior_loss_test_only,489.4341084057598,,,,,
greedy_evi,1,1,fold1-budget1,domain_scale_factor,5.405405405405405,,,,,
greedy_evi,1,1,fold1-budget1,n_near_threshold,16.0,,,,,
greedy_evi,1,1,fold1-budget1,fraction_near_threshold,0.21621621621621623,,,,,
greedy_evi,1,1,fold1-budget1,prior_loss_near_threshold,5014.283366769845,,,,,
greedy_evi,1,1,fold1-budget1,posterior_loss_near_threshold,5014.040889153613,,,,,
greedy_evi,1,1,fold1-budget1,savings_near_threshold,0.24247761623246333,,,,,
greedy_evi,1,1,fold1-budget1,roi_near_threshold,-0.9991917412792252,,,,,
greedy_evi,1,1,fold1-budget1,ddi_test,0.21621621621621623,,,,,
greedy_evi,1,1,fold1-budget1,ddi_prior,0.285,,,,,
greedy_evi,1,1,fold1-budget1,action_K,12.0,,,,,
greedy_evi,1,1,fold1-budget1,action_constrained_loss,135.13513513513513,,,,,
greedy_evi,1,1,fold1-budget1,action_regret,-354.5530606776981,,,,,
greedy_evi,1,1,fold1-budget1,action_hit_rate,1.0,,,,,
greedy_evi,1,1,fold1-budget1,morans_i,0.770277481098718,,,,,
greedy_evi,1,1,fold1-budget1,morans_pval,0.001,,,,,
greedy_evi,1,1,fold1-budget1,prior_computation_time_sec,0.011959552764892578,,,,,
greedy_evi,1,1,fold1-budget1,selection_time_sec,0.3289155960083008,,,,,
greedy_evi,1,1,fold1-budget1,inference_time_sec,0.001987457275390625,,,,,
greedy_evi,1,1,fold1-budget1,total_time_sec,0.342862606048584,,,,,
greedy_evi,1,1,fold1-budget1,n_selected,1.0,,,,,
greedy_evi,1,1,fold1-budget1,cost_mean,300.0,,,,,
greedy_evi,1,1,fold1-budget1,cost_std,0.0,,,,,
greedy_evi,1,2,fold2-budget1,rmse,0.49120829548341544,,,,,
greedy_evi,1,2,fold2-budget1,mae,0.3814822231456638,,,,,
greedy_evi,1,2,fold2-budget1,r2,0.8649985852972198,,,,,
greedy_evi,1,2,fold2-budget1,expected_loss_gbp,568.2181607959665,,,,,
greedy_evi,1,2,fold2-budget1,coverage_90,0.9479166666666666,,,,,
greedy_evi,1,2,fold2-budget1,msse,0.7091355246467468,,,,,
greedy_evi,1,2,fold2-budget1,n_test,96.0,,,,,
greedy_evi,1,2,fold2-budget1,roi,-1.0004119789693338,,,,,
greedy_evi,1,2,fold2-budget1,cost_efficiency,-0.0004119789693337831,,,,,
greedy_evi,1,2,fold2-budget1,prior_loss_gbp,2367.4520762923935,,,,,
greedy_evi,1,2,fold2-budget1,posterior_loss_gbp,2367.5756699831936,,,,,
greedy_evi,1,2,fold2-budget1,savings_gbp,-0.12359369080013494,,,,,
greedy_evi,1,2,fold2-budget1,total_cost,300.0,,,,,
greedy_evi,1,2,fold2-budget1,prior_loss_test_only,568.1884983101744,,,,,
greedy_evi,1,2,fold2-budget1,domain_scale_factor,4.166666666666667,,,,,
greedy_evi,1,2,fold2-budget1,n_near_threshold,30.0,,,,,
greedy_evi,1,2,fold2-budget1,fraction_near_threshold,0.3125,,,,,
greedy_evi,1,2,fold2-budget1,prior_loss_near_threshold,3756.7597150587467,,,,,
greedy_evi,1,2,fold2-budget1,posterior_loss_near_threshold,3756.7271236983142,,,,,
greedy_evi,1,2,fold2-budget1,savings_near_threshold,0.03259136043243416,,,,,
greedy_evi,1,2,fold2-budget1,roi_near_threshold,-0.9998913621318919,,,,,
greedy_evi,1,2,fold2-budget1,ddi_test,0.3125,,,,,
greedy_evi,1,2,fold2-budget1,ddi_prior,0.255,,,,,
greedy_evi,1,2,fold2-budget1,action_K,12.0,,,,,
greedy_evi,1,2,fold2-budget1,action_constrained_loss,3641.6666666666665,,,,,
greedy_evi,1,2,fold2-budget1,action_regret,3073.4485058707,,,,,
greedy_evi,1,2,fold2-budget1,action_hit_rate,0.41379310344827586,,,,,
greedy_evi,1,2,fold2-budget1,morans_i,0.7515687159258052,,,,,
greedy_evi,1,2,fold2-budget1,morans_pval,0.001,,,,,
greedy_evi,1,2,fold2-budget1,prior_computation_time_sec,0.006972789764404297,,,,,
greedy_evi,1,2,fold2-budget1,selection_time_sec,0.2770717144012451,,,,,
greedy_evi,1,2,fold2-budget1,inference_time_sec,0.0020017623901367188,,,,,
greedy_evi,1,2,fold2-budget1,total_time_sec,0.28604626655578613,,,,,
greedy_evi,1,2,fold2-budget1,n_selected,1.0,,,,,
greedy_evi,1,2,fold2-budget1,cost_mean,300.0,,,,,
greedy_evi,1,2,fold2-budget1,cost_std,0.0,,,,,
greedy_evi,1,3,fold3-budget1,rmse,0.4124069341873672,,,,,
